,Unnamed: 0,percent_deceived,num_false_seen
0,1,0.34360489658083576,2369
1,2,0.5404101326899879,829
2,3,0.8737864077669902,103
3,4,0.8604651162790697,43
4,5,0.9166666666666666,24
5,6,1.0,12
6,7,0.75,4
7,8,1.0,1
