,Unnamed: 0,percent_deceived,num_false_seen
0,1,0.32324058919803605,1222
1,2,0.5392156862745097,408
2,3,0.8076923076923077,52
3,4,0.9,20
4,5,0.9411764705882352,17
5,6,1.0,7
6,7,0.75,4
7,8,1.0,1
